YouTube新聞,#genre#
非凡新聞台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv010/index.m3u8
非凡新聞台,http://4gtv.livednow.dpdns.org/4gtv-4gtv010/index.m3u8
民視新聞台,http://4gtv.livednow.dpdns.org/li-litv-ftv13/index.m3u8
民視新聞台,http://4gtv.livednow.dpdns.org/litv-ftv13/index.m3u8
東森新聞台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv152/index.m3u8
寰宇新聞台灣台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv156/index.m3u8
寰宇新聞台灣台,http://4gtv.livednow.dpdns.org/4gtv-4gtv156/index.m3u8
寰宇新聞台灣台,http://4gtv.livednow.dpdns.org/of-4gtv-4gtv156/index.m3u8
鏡電視新聞台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv075/index.m3u8
鏡電視新聞台,http://4gtv.livednow.dpdns.org/4gtv-4gtv075/index.m3u8
三立iNEWS,http://4gtv.livednow.dpdns.org/iNEWS/index.m3u8
三立iNEWS,http://4gtv.livednow.dpdns.org/4gtv-live089/index.m3u8
寰宇新聞台,http://4gtv.livednow.dpdns.org/li-litv-longturn14/index.m3u8
寰宇新聞台,http://4gtv.livednow.dpdns.org/litv-longturn14/index.m3u8
寰宇新聞台,http://4gtv.livednow.dpdns.org/of-litv-longturn14/index.m3u8
寰宇新聞台,http://4gtv.livednow.dpdns.org/of-litv-longturn14/index.m3u8
TVBS新聞台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv072/index.m3u8













民視新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=litv-ftv13
東森新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv152
寰宇新聞台灣台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv156
鏡電視新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv075
非凡新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv010
東森財經新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv153
寰宇新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=litv-longturn14

TVBS新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv072


民視新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv13
東森新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv152
寰宇新聞台灣台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv156
鏡電視新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv075
TVBS新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv072
寰宇新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn14
三立iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
寰宇財經台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv158
非凡新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv010
東森財經新聞台,https://www.youtube.com/watch?v=1I2iq41Akmo
東森財經新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv153










東森財經新聞台,http://mianti.pendy.dpdns.org/li-4gtv-4gtv153/index.m3u8?proxy=true


非凡新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv010
非凡新聞台,http://211.23.114.106:8506/http/61.221.81.94:8088/hls/75/817/ch57.m3u8
非凡新聞台,http://211.23.114.106:8506/http/61.221.81.94:8088/hls/75/817/ch57.m3u8?token=
非凡新聞台,http://156.253.12.5:932/tslive/IPTV.php?id=%E9%9D%9E%E5%87%A1%E6%96%B0%E9%97%BB
非凡新聞台,rtmp://f13h.mine.nu/sat/tv581
非凡新聞台,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?ct=17874&tid=m050e7aad65f614336734&tsum=4ea1b829d195ac69a6c2ca51b21ae378
非凡新聞台,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?tid=ME3E6962233269622332&ct=19225&tsum=eea4d84db71e12ba91bfcf328f4dec9d
非凡新聞台,http://198.16.100.186:8278/feifannews_twn/playlist.m3u8?tid=MFDF6578546865785468&ct=19249&tsum=bbb5f2ee12e8ae89846875a83db08997
非凡新聞台,http://198.16.100.186:8278/feifannews_twn/playlist.m3u8?tid=m050e7aad65f614336734&ct=17874&tsum=4ea1b829d195ac69a6c2ca51b21ae378
非凡新聞台,http://198.16.100.186:8278/feifannews_twn/playlist.m3u8?tid=ME3E6962233269622332&ct=19225&tsum=eea4d84db71e12ba91bfcf328f4dec9d
非凡新聞台,p3p://108.181.32.169:50934/676955eb00013181cd70c73b35a34c93
非凡新聞台,p3p://108.181.32.169:41467/676955eb00013181cd70c73b35a34c93
非凡新聞台,http://mianti.pendy.dpdns.org/4gtv-4gtv010/index.m3u8?proxy=true
非凡新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=feifannews_twn
非凡新聞台,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?tid=MACA3363565933635659&ct=19234&tsum=ec8caeb654e3121f9bb3ed39b1759999
非凡新聞台,https://smart.pendy.dpdns.org/Smart.php?id=feifannews_twn








年代新聞台,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/67/809/ch27.m3u8?token=
年代新聞台,p2p://142.54.189.229:7575/64df11830008ea4904a2921502394fe8.ts
年代新聞台,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新聞台,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/67/809/ch27.m3u8?token=
年代新聞台,http://50.7.234.10:8278/niandainews_twn/playlist.m3u8?tid=MA6A4647720946477209&ct=19226&tsum=48a66838dbcf633b2fb41307b29ef50a
年代新聞台,http://198.16.100.186:8278/niandainews_twn/playlist.m3u8?tid=MBCB9184423891844238&ct=19249&tsum=ac0331d98099429b19c53fe6d20972ec
年代新聞台,p2p://142.54.189.229:7575/64df11830008ea4904a2921502394fe8.ts
年代新聞台,http://108.181.20.197/livehttpplay?channel_id=20033
年代新聞台,p3p://108.181.32.169:50934/67694e1500009a3dcd522b1b1f7e14f1
年代新聞台,https://smart.pendy.dpdns.org/Smart.php?id=niandainews_twn
年代新聞台,http://50.7.234.10:8278/niandainews_twn/playlist.m3u8?tid=ME7E9182640991826409&ct=19234&tsum=4bc66c7c1f629232c2c2ce6aa7d024a5
年代新聞台,http://50.7.234.10:8278/niandainews_twn/playlist.m3u8?tid=m062d2322888417909285&ct=17874&tsum=da6e0908f8df0e85b37f9d93167b9fcd








三立新聞台,https://www.youtube.com/watch?v=MV9mI0GChwo
三立新聞台,http://125.227.210.55:8162/VideoInput/play.ts
三立新聞台,p3p://108.181.32.169:50934/6766bc7f000ed78dc349b377648221c8
三立新聞台,p3p://108.181.32.169:41467/6766bc7f000ed78dc349b377648221c8
三立新聞台,p2p://142.54.189.229:7575/64df114a00089e6504a1b34e5ec80344.ts
三立新聞台,http://108.181.20.197/livehttpplay?channel_id=10126
三立新聞台,http://122.117.71.103:8542/http/220.130.87.218:8081/hls/65/807/ch018.m3u8

民視新聞台,http://50.7.234.10:8278/ftvnew_taiwan/playlist.m3u8?tid=ME4E4172771041727710&ct=19226&tsum=7b91c7af6212419479b392ff575e0689
民視新聞台,http://50.7.234.10:8278/ftvnew_taiwan/playlist.m3u8?tid=MF1F9892989898929898&ct=19234&tsum=454a768519608690638d11c0258cdcbe
民視新聞台,http://50.7.234.10:8278/ftvnew_taiwan/playlist.m3u8?tid=md953ce86cdad16241449&ct=17874&tsum=949d4aace793a001dd41392b210ba406


東森新聞台,https://www.youtube.com/watch?v=V1p33hqPrUk
東森新聞台,p2p://142.54.189.229:7575/64df0db3000d67790493aeaf65c56300.ts
東森新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv152


民視新聞台,https://www.youtube.com/watch?v=ylYJSBUgaMA
寰宇新聞台灣台,https://www.youtube.com/watch?v=w87VGpgd90U
鏡電視新聞台,https://www.youtube.com/watch?v=5n0y6b0Q25o
三立iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
寰宇新聞台,https://www.youtube.com/watch?v=6IquAgfvYmc


寰宇財經台,https://www.youtube.com/watch?v=EnuEsX3FSh0
TVBS新聞台,https://www.youtube.com/watch?v=m_dhMSvUCIc


非凡新聞台,http://xn--94q.xn--0p5a.top/0405smt.php?id=feifannews_twn
年代新聞台,http://xn--94q.xn--0p5a.top/0405smt.php?id=niandainews_twn
民視新聞台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ftvnew_taiwan
東森新聞台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvnews



TVBS新聞台,p2p://142.54.189.229:7575/64df0c5d000a530d048e75f37b155008.ts
東森新聞台,p2p://142.54.189.229:7575/64df0db3000d67790493aeaf65c56300.ts

東森財經新聞台,p3p://167.114.175.6:55331/61468bd70005123dea7373f226636dba
寰宇新聞台灣台,p3p://167.114.175.6:55331/612d7c11000c9faf888ebf9f3276784e
三立iNEWS,p3p://167.114.175.6:55331/644f81c10003ba2367cad2610d3a2ab5
三立iNEWS,http://4gtv.mumi.rip:9877/229/4gtv-live089/index.m3u8
TVBS新聞台,p2p://142.54.189.229:7575/64df0c5d000a530d048e75f37b155008.ts


寰宇財經台,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyutaiwan_twn
東森財經新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvcaijing_twn
非凡新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=feifannews_twn
年代新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=niandainews_twn
三立新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlinews_twn
民視新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=ftvnew_taiwan
東森新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvnews
寰宇新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyuxinwen_twn
TVBS新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbs_n







鏡電視新聞台,http://4gtv.livednow.dpdns.org/4gtv-4gtv075/index.m3u8
東森新聞台,http://4gtv.livednow.dpdns.org/4gtv-4gtv152/index.m3u8

民視新聞台,http://4gtv.livednow.dpdns.org/litv-ftv13/index.m3u8
三立iNEWS,http://4gtv.livednow.dpdns.org/4gtv-live089/index.m3u8
東森財經新聞台,http://4gtv.livednow.dpdns.org/4gtv-4gtv153/index.m3u8

寰宇新聞台,http://4gtv.livednow.dpdns.org/litv-longturn14/index.m3u8
寰宇新聞台灣台,http://4gtv.livednow.dpdns.org/4gtv-4gtv156/index.m3u8
寰宇財經台,http://4gtv.livednow.dpdns.org/4gtv-4gtv158/index.m3u8

非凡新聞台,http://4gtv.livednow.dpdns.org/4gtv-4gtv010/index.m3u8




年代新聞台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=niandainews_twn
非凡新聞台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=feifannews_twn


東森財經新聞台,http://robyang.serv00.net/ublive.php?id=2397
東森財經新聞台,http://robyang.serv00.net/ublive.php?id=12
非凡新聞台,http://robyang.serv00.net/ublive.php?id=3236
非凡新聞台,http://robyang.serv00.net/ublive.php?id=2795
壹新聞,http://robyang.serv00.net/ublive.php?id=2777
年代新聞台,http://robyang.serv00.net/ublive.php?id=1099
年代新聞台,http://robyang.serv00.net/ublive.php?id=2719
三立新聞台,http://robyang.serv00.net/ublive.php?id=2794
三立新聞台,http://robyang.serv00.net/ublive.php?id=43

民視新聞台,http://robyang.serv00.net/ublive.php?id=2395
民視新聞台,http://robyang.serv00.net/ublive.php?id=13

東森新聞台,http://robyang.serv00.net/ublive.php?id=2766
東森新聞台,http://robyang.serv00.net/ublive.php?id=1358
東森新聞台,http://robyang.serv00.net/ublive.php?id=2393
東森新聞台,http://robyang.serv00.net/ublive.php?id=1025
寰宇新聞台灣台,http://robyang.serv00.net/ublive.php?id=2401
鏡電視新聞台,http://robyang.serv00.net/ublive.php?id=463
寰宇新聞台,http://robyang.serv00.net/ublive.php?id=304
三立iNEWS,http://robyang.serv00.net/ublive.php?id=6
三立iNEWS,http://robyang.serv00.net/ublive.php?id=2398
TVBS新聞台,http://robyang.serv00.net/ublive.php?id=2736
TVBS新聞台,http://robyang.serv00.net/ublive.php?id=2

🐘新台派上線✨完整版🔥,#genre#
新台派上線,https://www.youtube.com/playlist?list=PLd5zGth6CDdWhOXdQ6KvUebq1WzWK48GA



晴天Mitv+P2p,#genre#


東森財經新聞台,mitv://starvod.xyz:19806/e8dcb71b19a3408c9dee7f293de36fd2.ts
非凡新聞台,mitv://starvod.xyz:19806/5bef8a795d6047009431cb56608243a4.ts
壹電視新聞台,mitv://starvod.xyz:19806/c1e8882a70774eff8c4ec7b33c28abf9.ts
年代新聞台,mitv://starvod.xyz:19806/ee88a10598104dde88555111081627a4.ts
三立新聞台,mitv://starvod.xyz:19806/7715336aa3654b1b9bc72a9672e9034a.ts
民視新聞台,mitv://starvod.xyz:19806/872d70e460874e1dabb952c580e5d190.ts
東森新聞台,mitv://starvod.xyz:19806/c03309d1018144cd830c09eb3fad2321.ts
東森新聞台,mitv://starvod.xyz:19806/571f577835b04059a840f24b40695776.ts
寰宇新聞台灣台,mitv://starvod.xyz:19806/902445beb0d247e1b3cef47c4f8bd626.ts
鏡新聞,mitv://starvod.xyz:19806/c2722787c71243b685af438cf9059236.ts
三立iNEWS,mitv://starvod.xyz:19806/957c56d439114b078398a4748cb111bf.ts
寰宇新聞台,mitv://starvod.xyz:19806/03fa5de4704d42c3ba38e490d3ef003a.ts
TVBS新聞台,mitv://starvod.xyz:19806/b608ab000afc4cc19a467b01b6181840.ts
華視新聞,mitv://starvod.xyz:19806/9ec2df7a3773446fa13539a8ca57d5b0.ts
中天新聞台,mitv://starvod.xyz:19806/3d4286732dc444f89d884fe9a1a9cd35.ts
中視新聞台,mitv://starvod.xyz:19806/76e537f5ad1b4bb5a2200383679b369b.ts
台視新聞台,mitv://starvod.xyz:19806/c59ff02905094acaab423c745f34873d.ts
台視財經台,mitv://starvod.xyz:19806/5aab069d2c6e44e7ab3ea5f8e8ce713d.ts
非凡商業台,mitv://starvod.xyz:19806/89e126238a0345e582505c3391af389d.ts
緯來體育台,mitv://starvod.xyz:19806/d301d07a53e8402eb7daf57c7940a848.ts
愛爾達體育1台(備),mitv://starvod.xyz:19806/99c335bdad724b0c9541931d096cb26c.ts
愛爾達體育1台,mitv://starvod.xyz:19806/1777f7d5b993434dbf9f4b32d0fdfccc.ts
愛爾達體育2台,mitv://starvod.xyz:19806/b84b8db7508046a5be4f85a3deeb76e3.ts
愛爾達體育2台(備),mitv://starvod.xyz:19806/0eac9b5935fe43c19bca5c6649d13bd5.ts
愛爾達體育3台(備),mitv://starvod.xyz:19806/c4783bf978c44c43a503cf3507bb7d3d.ts
愛爾達體育3台,mitv://starvod.xyz:19806/2ebe626a42c147febd4291438b1d4917.ts
愛爾達體育4台,mitv://starvod.xyz:19806/ffe2a9b06e18415dbc3483f399919fdb.ts

東森財經新聞台,P2p://starvod.xyz:19806/e8dcb71b19a3408c9dee7f293de36fd2.ts
非凡新聞台,P2p://starvod.xyz:19806/5bef8a795d6047009431cb56608243a4.ts
壹電視新聞台,P2p://starvod.xyz:19806/c1e8882a70774eff8c4ec7b33c28abf9.ts
年代新聞台,P2p://starvod.xyz:19806/ee88a10598104dde88555111081627a4.ts
三立新聞台,P2p://starvod.xyz:19806/7715336aa3654b1b9bc72a9672e9034a.ts
民視新聞台,P2p://starvod.xyz:19806/872d70e460874e1dabb952c580e5d190.ts
東森新聞台,P2p://starvod.xyz:19806/c03309d1018144cd830c09eb3fad2321.ts
東森新聞台,P2p://starvod.xyz:19806/571f577835b04059a840f24b40695776.ts
寰宇新聞台灣台,P2p://starvod.xyz:19806/902445beb0d247e1b3cef47c4f8bd626.ts
鏡新聞,P2p://starvod.xyz:19806/c2722787c71243b685af438cf9059236.ts
三立iNEWS,P2p://starvod.xyz:19806/957c56d439114b078398a4748cb111bf.ts
寰宇新聞台,P2p://starvod.xyz:19806/03fa5de4704d42c3ba38e490d3ef003a.ts
TVBS新聞台,P2p://starvod.xyz:19806/b608ab000afc4cc19a467b01b6181840.ts
華視新聞,P2p://starvod.xyz:19806/9ec2df7a3773446fa13539a8ca57d5b0.ts
中天新聞台,P2p://starvod.xyz:19806/3d4286732dc444f89d884fe9a1a9cd35.ts
中視新聞台,P2p://starvod.xyz:19806/76e537f5ad1b4bb5a2200383679b369b.ts
台視新聞台,P2p://starvod.xyz:19806/c59ff02905094acaab423c745f34873d.ts
台視財經台,P2p://starvod.xyz:19806/5aab069d2c6e44e7ab3ea5f8e8ce713d.ts
非凡商業台,P2p://starvod.xyz:19806/89e126238a0345e582505c3391af389d.ts
緯來體育台,P2p://starvod.xyz:19806/d301d07a53e8402eb7daf57c7940a848.ts
愛爾達體育1台(備),P2p://starvod.xyz:19806/99c335bdad724b0c9541931d096cb26c.ts
愛爾達體育1台,P2p://starvod.xyz:19806/1777f7d5b993434dbf9f4b32d0fdfccc.ts
愛爾達體育2台(備),P2p://starvod.xyz:19806/0eac9b5935fe43c19bca5c6649d13bd5.ts
愛爾達體育2台,P2p://starvod.xyz:19806/b84b8db7508046a5be4f85a3deeb76e3.ts
愛爾達體育3台(備),P2p://starvod.xyz:19806/c4783bf978c44c43a503cf3507bb7d3d.ts
愛爾達體育3台,P2p://starvod.xyz:19806/2ebe626a42c147febd4291438b1d4917.ts
愛爾達體育4台,P2p://starvod.xyz:19806/ffe2a9b06e18415dbc3483f399919fdb.ts


測試,#genre#

東森財經新聞,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv153/index.m3u8
東森財經新聞,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv153/index.m3u8
非凡新聞,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv010/index.m3u8
民視新聞,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv13/index.m3u8
東森新聞,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv152/index.m3u8
寰宇新聞台灣台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv156/index.m3u8
鏡電視新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv075/index.m3u8
三立iNEWS,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live089/index.m3u8
三立iNEWS,http://xn--elt51t.azip.dpdns.org:5008/iNEWS/index.m3u8
寰宇新聞,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn14/index.m3u8
鏡電視新聞台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv075/index.m3u8
東森新聞,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv152/index.m3u8
民視新聞,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv13/index.m3u8
TVBS新聞台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv072/index.m3u8
寰宇新聞,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn14/index.m3u8
寰宇新聞台灣台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv156/index.m3u8
寰宇財經,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv158/index.m3u8
寰宇財經,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv158/index.m3u8
寰宇新聞,http://xn--elt51t.azip.dpdns.org:5008/of-litv-longturn14/index.m3u8
寰宇新聞台灣台,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv156/index.m3u8
寰宇財經,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv158/index.m3u8
台視財經台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv056/index.m3u8
華視新聞台,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv041/index.m3u8
華視新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv052/index.m3u8
中視新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv074/index.m3u8
中天新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv009/index.m3u8
中視新聞台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv074/index.m3u8
中天新聞台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv009/index.m3u8
台視新聞台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv051/index.m3u8
中視新聞台,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv074/index.m3u8
中天新聞台,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv009/index.m3u8
非凡商業,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv048/index.m3u8
第1商業台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv104/index.m3u8  
台視新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv051/index.m3u8
SBN 全球財經台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live060/index.m3u8

非凡新聞,http://free.cnlive.club/channel/n3acea59d/index.m3u8?q=1744544337310
TVBS新聞台,http://free.cnlive.club/channel/7713a03d/index.m3u8?q=1744544337310
東森新聞,http://free.cnlive.club/channel/2c4f5ac9/index.m3u8?q=1744544337310
東森財經新聞,http://free.cnlive.club/channel/79b28eb7/index.m3u8?q=1744544337310
民視新聞,http://free.cnlive.club/channel/7c544dc1/index.m3u8?q=1744544337310
寰宇新聞台,http://free.cnlive.club/channel/n7be4ad71/index.m3u8?q=1744544337310
寰宇新聞台灣台,http://free.cnlive.club/channel/n15612544/index.m3u8?q=1744544337310
寰宇財經台,http://free.cnlive.club/channel/n7b52d555/index.m3u8?q=1744544337310


年代新聞-替,http://cookies.elementfx.com/ublive/ublive.php?id=2719
壹新聞-備,http://cookies.elementfx.com/ublive/ublive.php?id=2777
年代新聞-備,http://cookies.elementfx.com/ublive/ublive.php?id=1099
壹新聞-替,http://cookies.elementfx.com/ublive/ublive.php?id=494


東森新聞,https://smart.pendy.dpdns.org/Smart.php?id=ettvnews
民視新聞,https://smart.pendy.dpdns.org/Smart.php?id=ftvnew_taiwan
民視新聞,https://stream1.freetv.fun/min-shi-xin-wen-12.ctv寰宇財經,https://smart.pendy.dpdns.org/Smart.php?id=huanyutaiwan_twn
寰宇新聞台灣台,https://smart.pendy.dpdns.org/Smart.php?id=huanyuxinwen_twn
東森財經新聞,https://smart.pendy.dpdns.org/Smart.php?id=ettvcaijing_twn
非凡新聞,https://smart.pendy.dpdns.org/Smart.php?id=feifannews_twn
年代新聞,https://smart.pendy.dpdns.org/Smart.php?id=niandainews_twn
東森財經新聞 ETTV Business,https://smart.pendy.dpdns.org/Smart.php?id=ettvcaijing_twn
寰宇財經台,https://smart.pendy.dpdns.org/Smart.php?id=huanyutaiwan_twn
寰宇新聞台,https://smart.pendy.dpdns.org/Smart.php?id=huanyuxinwen_twn
TVBS News 新聞台,https://smart.pendy.dpdns.org/Smart.php?id=tvbs_n
非凡新聞台,https://smart.pendy.dpdns.org/Smart.php?id=feifannews_twn

非凡新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=feifannews_twn
年代新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=niandainews_twn
民视新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=ftvnew_taiwan
寰宇新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyuxinwen_twn
寰宇财经台,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyutaiwan_twn
东森新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvnews
东森财经新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvcaijing_twn
TVBS 新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbs_n
中天新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=ctinews

東森新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=47
寰宇新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=45
鏡新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=46
TVBS新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=40
